,ID,Sex,Age,Height,Weight,ColdSens,ColdExp,Workhr,Coffeeintake,Vote_time,therm_sens,therm_pref,location,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480,sd.Solar_480,mean.hr_5,grad.hr_5,sd.hr_5,mean.hr_15,grad.hr_15,sd.hr_15,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_5,grad.WristT_5,sd.WristT_5,mean.WristT_15,grad.WristT_15,sd.WristT_15,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.AnkleT_5,grad.AnkleT_5,sd.AnkleT_5,mean.AnkleT_15,grad.AnkleT_15,sd.AnkleT_15,mean.AnkleT_60,grad.AnkleT_60,sd.AnkleT_60,mean.PantT_5,grad.PantT_5,sd.PantT_5,mean.PantT_15,grad.PantT_15,sd.PantT_15,mean.PantT_60,grad.PantT_60,sd.PantT_60,mean.act_5,grad.act_5,sd.act_5,mean.act_15,grad.act_15,sd.act_15,mean.act_60,grad.act_60,sd.act_60
2535,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 17:58,-0.4,0,1,16.96666667,-0.01,0.057735027,16.96666667,-0.01,0.057735027,24.0,-0.3,1.732050808,24.0,-0.3,1.732050808,0.266666667,0.04,0.230940108,0.266666667,0.04,0.230940108,105.3333333,-3.7,18.50225212,105.3333333,-3.7,18.50225212,109.2724252,-5.999471959,13.13971856,93.87236404,2.634064639,18.59857587,92.64375,2.608281639,18.65560109,26.40333333,0.327428571,0.615196446,26.295625,-0.012926471,0.572339861,26.295625,-0.012926471,0.572339861,29.63666667,0.337142857,0.643200332,29.5,0.024382353,0.410349445,29.5,0.024382353,0.410349445,,,,,,,,,,,,,,,,,,
2536,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 18:06,-0.6,0,1,16.7,,,16.7,,,21.0,,,21.0,,,0.0,,,0.0,,,76.0,,,76.0,,,97.86046512,1.137453521,6.52383822,97.81666667,0.656018472,6.960950831,97.81666667,0.656018472,6.960950831,28.24666667,0.150285714,0.284792322,28.10375,0.146547619,0.361304679,28.10375,0.146547619,0.361304679,30.48,-0.006857143,0.030983867,30.4975,-0.013571429,0.044641429,30.4975,-0.013571429,0.044641429,,,,,,,,,,,,,,,,,,
2537,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 18:30,0.3,0,1,16.55,-0.010285714,0.1,16.55,-0.010285714,0.1,17.5,-0.102857143,2.081665999,17.5,-0.102857143,2.081665999,0.3,-0.002285714,0.2,0.3,-0.002285714,0.2,72.75,-0.6,6.652067348,72.75,-0.6,6.652067348,92.20598007,0.345022112,5.486112539,92.1609323,-0.207164742,7.739772091,94.02638889,-0.3250479,7.46644089,29.85,0.071428571,0.13520355,29.47,0.070882353,0.344596382,29.26416667,0.059582609,0.441528143,30.65666667,0.115428571,0.216948535,30.498125,0.039632353,0.255322508,30.46208333,0.016821739,0.216252251,,,,,,,,,,,,,,,,,,
2539,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 19:08,0.6,-1,1,15.5,-0.034285714,0.264575131,15.5,-0.034285714,0.264575131,27.0,-0.214285714,1.732050808,27.0,-0.214285714,1.732050808,0.866666667,-0.022857143,0.450924975,0.866666667,-0.022857143,0.450924975,51.66666667,-1.471428571,11.50362262,51.66666667,-1.471428571,11.50362262,96.19933555,0.490207036,2.920068416,107.2930078,-2.645504994,14.05309954,104.4289855,-0.204433411,13.2175428,27.10333333,-0.076,0.153057723,26.34,0.105852941,1.079481357,26.87,-0.062302372,1.212330588,31.63333333,0.038285714,0.074206918,30.3025,0.284676471,1.476403287,29.91347826,0.167065217,1.359898421,,,,,,,,,,,,,,,,,,
2540,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 19:24,0.1,0,1,15.06666667,-0.03,0.152752523,15.06666667,-0.03,0.152752523,23.0,-0.1,1.0,23.0,-0.1,1.0,0.4,-1.92e-17,0.0,0.4,-1.92e-17,0.0,24.66666667,-1.6,8.082903769,24.66666667,-1.6,8.082903769,74.90697674,-0.112314361,1.74489288,76.40954495,-0.48269501,4.093338479,77.32291667,-0.723549776,5.446478216,31.4,0.256,0.505885363,29.8925,0.325117647,1.573800072,29.8925,0.325117647,1.573800072,31.33166667,-0.025428571,0.069402209,31.4275,-0.019382353,0.1125759,31.4275,-0.019382353,0.1125759,,,,,,,,,,,,,,,,,,
2541,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 19:43,0.2,0,1,14.675,-0.034,0.221735578,14.675,-0.034,0.221735578,22.0,-0.2,1.414213562,22.0,-0.2,1.414213562,0.2,0.016,0.230940108,0.2,0.016,0.230940108,4.75,-0.66,4.272001873,4.75,-0.66,4.272001873,75.6013289,0.83512354,2.540445806,74.50943396,0.073484254,2.682281328,74.64912281,-0.003072365,2.570114102,31.96166667,0.002,0.02857738,31.939375,0.019544118,0.197229773,31.93473684,0.012894737,0.180750547,31.24,-0.022285714,0.050199602,31.2625,-0.005117647,0.037148351,31.28421053,-0.008842105,0.061672593,,,,,,,,,,,,,,,,,,
2542,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 20:10,0.2,0,1,14.3,-0.005714286,0.063245553,14.3,-0.005714286,0.063245553,21.16666667,-0.165714286,2.786873995,21.16666667,-0.165714286,2.786873995,0.266666667,0.009142857,0.206559112,0.266666667,0.009142857,0.206559112,0.0,0.0,0.0,0.0,0.0,0.0,82.96345515,-6.20627929,11.88116128,103.1709212,-3.682369183,18.14104242,96.75740741,0.496303513,19.1933638,27.425,0.231142857,0.461074831,26.350625,0.14375,1.067242358,28.28592593,-0.252838828,2.730870894,31.05333333,0.069142857,0.203633658,29.98375,0.182558824,0.917851658,30.29074074,-0.013278388,0.914094449,,,,,,,,,,,,,,,,,,
2543,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 20:46,-0.1,0,1,14.31666667,0.009714286,0.098319208,14.31666667,0.009714286,0.098319208,17.16666667,-0.291428571,2.994439291,17.16666667,-0.291428571,2.994439291,0.716666667,-0.049714286,0.534477938,0.716666667,-0.049714286,0.534477938,0.0,0.0,0.0,0.0,0.0,0.0,72.71760797,0.692367605,2.379773573,72.23196448,0.074510952,2.355258755,74.75138889,-0.366044353,7.799285481,31.13,0.008571429,0.045166359,30.985,0.032323529,0.16673332,30.25416667,0.075857143,0.827928137,32.16666667,-0.033142857,0.077114633,32.163125,0.000132353,0.051732485,31.82388889,0.037899614,0.458645694,,,,,,,,,,,,,,,,,,
2544,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 21:22,-0.2,0,1,14.25714286,-4.02e-14,0.053452248,14.25714286,-4.02e-14,0.053452248,13.0,-0.214285714,2.645751311,13.0,-0.214285714,2.645751311,0.6,0.022857143,0.360555128,0.6,0.022857143,0.360555128,0.0,0.0,0.0,0.0,0.0,0.0,69.089701,0.345048514,2.483665351,69.57158713,-0.073333645,2.60440495,70.31712963,-0.072359662,2.899886296,31.175,-0.048857143,0.104067286,31.05125,0.030676471,0.203596824,31.04361111,-0.002647362,0.247029816,32.13166667,-0.003142857,0.04833908,32.595,-0.0645,0.373184494,32.435,0.015083655,0.367497327,,,,,,,,,,,,,,,,,,
2545,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 21:32,-0.3,1,1,14.35,0.02,0.070710678,14.35,0.02,0.070710678,7.5,0.6,2.121320344,7.5,0.6,2.121320344,0.85,-0.18,0.636396103,0.85,-0.18,0.636396103,0.0,0.0,0.0,0.0,0.0,0.0,90.03986711,5.353360762,12.48245724,79.495,3.831998978,13.83108117,79.495,3.831998978,13.83108117,30.245,-0.389428571,0.75367765,30.567,-0.197515152,0.699699142,30.567,-0.197515152,0.699699142,30.96166667,-0.406571429,0.810787683,31.391,-0.244909091,0.82068332,31.391,-0.244909091,0.82068332,,,,,,,,,,,,,,,,,,
2546,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 21:56,0.3,0,1,14.475,0.014,0.095742711,14.475,0.014,0.095742711,13.25,0.02,0.5,13.25,0.02,0.5,0.775,0.134,0.917877988,0.775,0.134,0.917877988,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,0.0,63.0,,0.0,82.69537815,-0.680380654,11.05249006,29.91166667,0.178,0.343069478,29.7975,0.019911765,0.239680343,29.80541667,0.006978261,0.241930266,30.18666667,0.036571429,0.086871553,29.954375,0.021338235,0.257810492,29.98458333,0.001517391,0.22892906,,,,,,,,,,,,,,,,,,
2547,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 22:19,0.3,0,1,15.075,0.042,0.275378527,15.075,0.042,0.275378527,15.75,-0.9,6.184658438,15.75,-0.9,6.184658438,1.425,-0.118,0.776208735,1.425,-0.118,0.776208735,0.0,0.0,0.0,0.0,0.0,0.0,68.3820598,2.023110603,9.566793807,64.1609323,0.707461283,6.438052226,63.07463768,0.380421695,5.460206915,31.205,0.074571429,0.170499267,31.075625,0.036573529,0.209856101,30.95434783,0.035454545,0.259961992,31.10333333,-0.008,0.036147845,31.00875,0.019617647,0.102623909,30.86826087,0.034851779,0.258327702,,,,,,,,,,,,,,,,,,
2548,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 22:37,0.4,-1,1,15.2,-0.048,0.316227766,15.2,-0.048,0.316227766,12.75,0.3,2.5,12.75,0.3,2.5,0.775,0.03,0.25,0.775,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.0,57.93687708,-0.181038921,0.867564915,59.37957825,-0.354715997,2.772921492,59.49074074,-0.236246202,2.609227833,31.15,-0.008571429,0.024494897,31.098125,0.010514706,0.066153231,31.10277778,0.005995872,0.063598516,31.61,0.015428571,0.032863353,31.52625,0.020529412,0.114418821,31.48777778,0.025902993,0.155546685,,,,,,,,,,,,,,,,,,
2549,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 23:03,0.4,0,1,14.3,-0.022,0.187082869,14.3,-0.022,0.187082869,12.8,3.71e-12,1.095445115,12.8,3.71e-12,1.095445115,1.22,0.016,0.178885438,1.22,0.016,0.178885438,0.0,0.0,0.0,0.0,0.0,0.0,59.01183432,1.672368356,1.835458181,59.51111111,-0.087885866,1.99690431,63.31699346,-0.69036179,10.90732447,30.68333333,0.124,0.234407053,30.34875,0.054882353,0.316520142,30.45230769,-0.004150427,0.291922013,31.57333333,0.096571429,0.188432127,31.4875,0.014970588,0.130868891,31.33038462,0.025664957,0.274946988,,,,,,,,,,,,,,,,,,
2550,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/5/2017 23:27,0.6,-1,1,13.58,-0.03,0.238746728,13.58,-0.03,0.238746728,21.6,0.32,2.607680962,21.6,0.32,2.607680962,0.42,-0.008,0.319374388,0.42,-0.008,0.319374388,0.0,0.0,0.0,0.0,0.0,0.0,58.65116279,0.753752393,1.635412377,58.17956656,0.152823952,1.676638515,58.17956656,0.152823952,1.676638515,30.98333333,0.024571429,0.055015149,30.9375,0.005588235,0.074431176,30.945,0.000130435,0.065408416,31.89,-3.73e-15,0.0,31.86875,0.007647059,0.063337719,31.82833333,0.008408696,0.08143638,,,,,,,,,,,,,,,,,,
2551,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/6/2017 7:47,1.1,-1,1,13.37272727,-0.003031847,0.090453403,14.50357143,-0.000636364,0.614767353,42.54545455,0.059235669,4.321195121,21.89285714,0.040044015,9.596708594,1.209090909,-0.000624204,0.66701506,1.275,-0.000122387,1.008383533,0.454545455,0.038853503,1.507556723,0.05952381,0.00075658,0.545544726,54.87043189,1.139644892,1.904334393,55.15427303,-0.162808016,3.985467496,58.43182449,-0.139810507,5.662388407,35.405,-0.378,0.850429303,35.675625,-0.054044118,0.537971111,35.75360656,0.001608144,0.32542297,35.22,0.077142857,0.201494417,35.155,0.015264706,0.129666238,35.2,-0.001246959,0.116847479,,,,,,,,,,,,,,,,,,
2552,7,Female,25,1.8,57.0,3.1,1.1,7.5,0.6,4/6/2017 8:26,0.6,-1,1,13.7875,0.029285714,0.368151754,13.7875,0.029285714,0.368151754,42.5,-0.261904762,4.208834246,42.5,-0.261904762,4.208834246,1.275,0.012857143,0.608863109,1.275,0.012857143,0.608863109,23.625,0.873809524,10.7827574,23.625,0.873809524,10.7827574,59.95016611,0.548766804,1.540835803,62.90344062,-0.557205962,5.227130011,61.98615752,0.019887125,4.489859027,32.795,-0.060285714,0.148828761,34.506875,-0.300691176,1.542918096,34.55410256,0.009459514,1.307494023,34.20333333,-0.029714286,0.058195074,34.2625,-0.007617647,0.071972217,34.51897436,-0.030048583,0.434891365,,,,,,,,,,,,,,,,,,
