,ID,Sex,Age,Height,Weight,ColdSens,ColdExp,Workhr,Coffeeintake,Vote_time,therm_sens,therm_pref,location,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480,sd.Solar_480,mean.hr_5,grad.hr_5,sd.hr_5,mean.hr_15,grad.hr_15,sd.hr_15,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_5,grad.WristT_5,sd.WristT_5,mean.WristT_15,grad.WristT_15,sd.WristT_15,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.AnkleT_5,grad.AnkleT_5,sd.AnkleT_5,mean.AnkleT_15,grad.AnkleT_15,sd.AnkleT_15,mean.AnkleT_60,grad.AnkleT_60,sd.AnkleT_60,mean.PantT_5,grad.PantT_5,sd.PantT_5,mean.PantT_15,grad.PantT_15,sd.PantT_15,mean.PantT_60,grad.PantT_60,sd.PantT_60,mean.act_5,grad.act_5,sd.act_5,mean.act_15,grad.act_15,sd.act_15,mean.act_60,grad.act_60,sd.act_60
2927,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/14/2017 23:12,-0.6,1,1,10.54736842,-0.014465915,0.447671036,13.31122449,-0.011510247,1.846919009,81.94736842,0.059473967,1.649029486,69.01020408,0.059520059,9.893760293,1.6,0.001529791,0.723417814,1.129591837,-0.000472454,0.734595644,0.0,0.0,0.0,206.0510204,-1.704895374,286.6103131,,,,,,,96.30111111,0.418300931,13.72036797,26.98833333,-0.030571429,0.113210718,27.11625,-0.026382353,0.148991051,26.49508197,0.024541512,0.535632408,25.486,-0.087,0.138672276,25.766,-0.048892857,0.269915331,25.4905,0.016029175,0.394897219,23.128,-0.282,0.446732582,23.456,-0.035107143,0.38766333,22.89966667,0.039610447,0.991675464,9.42173068,,,9.42173068,,,9.616098887,-0.032072276,0.321797409
2928,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 0:35,-0.5,0,1,10.33529412,0.006403509,0.403021675,10.292,0.004612373,0.416253128,80.64705882,-0.072169059,4.107024112,81.68,-0.082732968,3.760762334,1.482352941,-0.017639553,1.089286059,1.472,-0.005783085,1.186914768,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,30.58,0.118285714,0.237234062,30.445625,0.041279412,0.29513768,28.2395082,0.092278689,1.715151525,25.3,0.0,0.0,25.308,-0.004714286,0.044593401,25.39383333,-0.007195054,0.187119935,22.53,-0.024,0.042426407,22.73266667,-0.043,0.19940865,22.765,-0.00086135,0.390338836,9.272594583,,0.254525773,9.270701257,0.264955939,0.260112541,9.503359192,-0.003886896,0.352491191
2929,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 9:54,0.0,0,1,10.625,0.025944056,0.475059805,9.484042553,0.000499785,0.648124373,83.75,-0.079020979,1.602554779,87.53191489,0.000953481,3.004305612,0.758333333,-0.01,0.347610894,1.638297872,-0.001108193,0.612083764,332.5,9.309090909,214.9094947,67.39361702,0.651015604,135.7999175,,,,,,,,,,31.13166667,-0.201428571,0.379231679,31.916875,-0.169014706,0.883045629,33.76688525,-0.038490217,1.278611931,33.652,-0.269,0.45696827,33.79,-0.004107143,0.346100729,33.51616667,0.009792442,0.311312648,20.53,0.0,0.0,20.498,0.006,0.030983867,20.4255,0.003451792,0.064530245,,,,,,,,,
2932,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 12:06,0.2,0,1,14.44285714,0.018571429,0.214919697,14.44285714,0.018571429,0.214919697,69.28571429,-0.064285714,0.951189731,69.28571429,-0.064285714,0.951189731,1.014285714,0.002857143,0.195180015,1.014285714,0.002857143,0.195180015,882.8571429,1.078571429,12.38855078,882.8571429,1.078571429,12.38855078,,,,99.85232068,-2.381434909,8.025338903,98.05150754,0.16035723,10.55532821,29.685,0.014,0.242136325,29.875625,-0.05325,0.379701089,28.96333333,0.112219251,1.418920511,27.896,-0.181,0.298546479,28.13733333,-0.047785714,0.25822102,27.6930303,0.059027406,0.793991045,21.256,0.012,0.053665631,21.46333333,-0.070821429,0.432858714,20.95242424,0.077553476,1.170181691,,,,8.866724874,,,9.36144097,0.008180576,0.575464034
2933,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 13:01,-0.5,1,1,15.03636364,0.018727273,0.323334895,15.03636364,0.018727273,0.323334895,66.81818182,-0.110909091,2.040499048,66.81818182,-0.110909091,2.040499048,1.272727273,-0.005272727,0.237027041,1.272727273,-0.005272727,0.237027041,920.0,0.712727273,11.96662024,920.0,0.712727273,11.96662024,89.03691275,-0.637012253,4.771758233,90.90200445,-0.443640251,5.400914121,97.60305344,-0.48071238,8.849278344,28.51,0.008571429,0.070142712,28.525625,-0.003220588,0.083103851,29.21563636,-0.034665945,0.667745692,28.508,-0.021,0.038340579,28.576,-0.012857143,0.062655521,28.49981818,0.002163781,0.370847333,23.09,1.59e-15,0.0,23.26133333,-0.029,0.150801036,23.84345455,-0.014962482,1.234564278,9.242291876,-0.423027117,0.334939259,9.242224367,-0.249352344,0.334904558,9.585934578,-0.009224577,0.359822063
2934,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 14:01,-0.5,0,1,16.09,0.006989967,0.23781412,16.09,0.006989967,0.23781412,62.6,-0.074916388,1.897366596,62.6,-0.074916388,1.897366596,1.28,0.004782609,0.329309041,1.28,0.004782609,0.329309041,932.2,-0.255183946,5.977736472,932.2,-0.255183946,5.977736472,80.20962199,-0.402186162,4.476071653,82.95847363,-0.511403441,5.354139795,84.05649241,-0.123741276,6.730058477,28.82166667,0.115714286,0.253488987,28.49875,0.056176471,0.30735159,28.6995,-0.018723256,0.571170149,28.396,-0.018,0.032863353,28.27933333,0.019892857,0.111960878,28.17566667,-0.005861073,0.441324534,27.966,-0.219,0.351468349,28.45466667,-0.006678571,0.785655929,25.0815,0.102241456,2.08238441,,,,10.62158811,,,9.388935166,0.02178846,0.255939948
2935,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 15:01,-0.3,0,1,16.53636364,0.005273698,0.180403588,16.53636364,0.005273698,0.180403588,60.36363636,-0.079439252,1.747725795,60.36363636,-0.079439252,1.747725795,1.490909091,-0.01082777,0.415823389,1.490909091,-0.01082777,0.415823389,886.3636364,-1.298397864,24.09677459,886.3636364,-1.298397864,24.09677459,84.9833887,-2.817284548,16.4126899,84.4,-1.819306389,16.27291133,85.53624679,0.238825446,16.42540963,31.65166667,-0.006,0.235237469,30.438125,0.226955882,1.139796583,29.03516667,0.038797166,1.105452575,27.972,0.025,0.103778611,27.92533333,0.005535714,0.069165089,28.00966667,-0.00403501,0.198408641,22.982,0.012,0.026832816,22.80066667,0.028892857,0.142951873,24.13983333,-0.065140039,1.560934631,9.364883386,-0.358942895,0.283644977,9.339204427,-0.055091139,0.625953841,9.473597664,-0.01445566,0.634123244
2937,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 16:01,0.7,0,1,17.225,-0.002380952,0.271240536,17.225,-0.002380952,0.271240536,55.125,0.102380952,1.457737974,55.125,0.102380952,1.457737974,1.6,0.019047619,0.472077475,1.6,0.019047619,0.472077475,768.125,-2.273809524,27.87952398,768.125,-2.273809524,27.87952398,125.8604651,0.943768014,8.492376883,123.299667,0.4581074,9.549001687,118.4765766,0.270003608,11.17237189,27.915,-0.200857143,0.407320513,28.73625,-0.145764706,0.754867538,28.51297297,0.041353722,1.246869112,28.598,0.012,0.026832816,28.46666667,0.016142857,0.121870345,27.51324324,0.093255097,1.082576798,22.326,0.062,0.111265448,21.998,0.048678571,0.272559299,21.45351351,0.060426743,0.719475952,9.574678156,,1.135171196,9.573835807,0.101464834,1.134776985,9.586902605,-0.000404933,0.742050854
2939,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 17:00,0.4,0,1,15.78,-0.014,0.130384048,15.78,-0.014,0.130384048,63.2,0.08,1.095445115,63.2,0.08,1.095445115,1.6,-0.044,0.504975247,1.6,-0.044,0.504975247,591.2,-2.38,23.39230643,591.2,-2.38,23.39230643,94.62790698,-0.046599635,3.727521778,97.74805771,-0.842028689,6.402413529,109.8358108,-2.095251377,16.8889925,32.255,-0.036857143,0.138672276,31.238125,0.266485294,1.474752945,28.8148,0.474323077,3.670969581,29.896,0.082,0.130499042,29.27,0.128535714,0.580320109,28.6232,0.120953846,0.988073547,24.492,0.068,0.112338773,23.98466667,0.114928571,0.542939969,22.6312,0.232392308,1.847733567,,,,9.641314726,,0.145399054,9.552915421,0.027455156,0.153110478
2940,11,Female,20,1.65,52.0,2.5,1.5,7.0,1.0,5/15/2017 18:00,0.6,0,1,15.725,-0.008741259,0.226133508,15.725,-0.008741259,0.226133508,63.5,0.075524476,1.678744119,63.5,0.075524476,1.678744119,1.133333333,-0.010629371,0.647138222,1.133333333,-0.010629371,0.647138222,336.25,-9.585314685,186.1935088,336.25,-9.585314685,186.1935088,82.84053156,-0.611946932,3.612176405,82.60044395,-0.092813356,5.997051111,86.2275,-0.179819404,6.756526231,32.27833333,-0.033428571,0.076004386,32.43625,-0.037205882,0.196600271,32.0415,0.016614337,0.448480769,29.91,0.082,0.144741148,30.00066667,-0.026571429,0.180573162,29.8685,0.003893582,0.215774718,25.332,0.037,0.082885463,25.06,0.048785714,0.234794743,25.22933333,3.11e-05,0.346071741,9.578670128,,0.192674257,9.578453651,0.023239136,0.192526393,9.578126596,0.004749921,0.19230725
